Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /session-status/:id (final check),135,0,2200,3137.3675837047845,1121.4028999966104,8413.573800004087,220.0,2.4552105600977883,0.0,2200,4300,4800,5000,6200,6500,6600,7300,8400,8400,8400
GET,GET /session-status/:id (post-create),193,0,4500,4376.188352847305,460.40779998293146,9124.387999996543,220.0,3.5100417636953565,0.0,4500,5200,6200,6500,8300,8400,8500,8800,9100,9100,9100
POST,POST /candidates (register),100,0,3300,3836.181143000722,255.44870001613162,11130.957099987427,255.0,1.8186744889613247,0.0,3300,4000,4900,6600,8900,10000,11000,11000,11000,11000,11000
POST,POST /interviews/ask-question,143,0,6400,5644.241253146902,1980.8223000145517,12545.563899999252,40.0,2.6007045192146943,0.0,6400,6700,6900,7100,7700,9900,11000,12000,13000,13000,13000
POST,POST /start-interview,233,5,8200,8070.042251930532,54.71229998511262,14198.187799978768,184.94420600858368,4.237511559279886,0.09093372444806623,8200,9600,10000,11000,13000,14000,14000,14000,14000,14000,14000
,Aggregated,804,5,5000,5397.031634452202,54.71229998511262,14198.187799978768,182.17910447761193,14.62214289124905,0.09093372444806623,5000,6600,7400,8300,10000,12000,14000,14000,14000,14000,14000
