Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /session-status/:id (final check),15,15,150,452.2981733374763,71.58470002468675,1450.7190000149421,48.0,0.07950538481612109,0.07950538481612109,150,180,1100,1200,1200,1500,1500,1500,1500,1500,1500
GET,GET /session-status/:id (post-create),15,15,490,652.7677133388352,115.67670002114028,1599.740700010443,48.0,0.07950538481612109,0.07950538481612109,490,550,1200,1300,1400,1600,1600,1600,1600,1600,1600
POST,POST /candidates (register),15865,15720,48,1329.4218976929824,6.106499989982694,41789.31510000257,49.71339426410337,84.09019534051741,83.3216432872949,48,100,170,250,710,1800,33000,38000,42000,42000,42000
POST,POST /interviews/ask-question,15,14,150,744.9285933321031,88.75110000371933,7020.436400023755,47.46666666666667,0.07950538481612109,0.07420502582837968,150,180,760,770,1100,7000,7000,7000,7000,7000,7000
POST,POST /start-interview,2065,2050,43,250.32458794173576,5.31460001366213,7996.236999984831,49.01646489104116,10.945241309686002,10.865735924869883,43,100,180,280,680,1200,1800,2400,7800,8000,8000
,Aggregated,17975,17814,48,1203.6689067148188,5.31460001366213,41789.31510000257,49.62859527121002,95.27395280465177,94.42059500762541,48,100,170,250,720,1600,32000,37000,42000,42000,42000
