Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /session-status/:id (final check),452,0,520,601.2627126107382,13.199200009694323,2138.5599999921396,220.0,4.449847342449027,0.0,520,660,800,910,1300,1500,1800,2000,2100,2100,2100
GET,GET /session-status/:id (post-create),452,0,910,954.3692004421068,19.143000012263656,2481.988999992609,220.0,4.449847342449027,0.0,910,1200,1400,1500,1700,2000,2200,2300,2500,2500,2500
POST,POST /candidates (register),50,0,150,176.41682200017385,56.16340000415221,296.23750000610016,255.0,0.49223975027091,0.0,160,190,200,230,260,280,300,300,300,300,300
POST,POST /interviews/ask-question,452,0,1100,1242.248625442771,53.630499984137714,3341.55529999407,40.0,4.449847342449027,0.0,1200,1500,1700,1900,2300,2700,3100,3200,3300,3300,3300
POST,POST /start-interview,727,275,650,1034.1902276471997,8.3310000190977,3521.110400004545,177.19532324621733,7.157165968939031,2.707318626490005,650,1400,2000,2200,2800,3100,3300,3400,3500,3500,3500
,Aggregated,2133,275,760,949.5167088605444,8.3310000190977,3521.110400004545,168.08766994842944,20.998947746557022,2.707318626490005,760,1200,1400,1700,2200,2700,3100,3300,3500,3500,3500
