Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /candidates (register),123,74,93,102.81069756213886,9.083900004043244,248.1751000013901,123.84552845528455,0.41114613725951693,0.24735621266019717,93,110,130,140,210,220,220,230,250,250,250
POST,POST /start-interview,3559,3559,70,77.28097743738297,4.384200001368299,452.26499999989755,46.0,11.896496768346509,11.896496768346509,70,89,100,110,140,170,210,250,390,450,450
,Aggregated,3682,3633,71,78.13381708304972,4.384200001368299,452.26499999989755,48.60048886474742,12.307642905606027,12.143852981006706,71,89,100,110,140,180,220,250,390,450,450
