Method,Name,Error,Occurrences,First Seen,Last Seen
POST,POST /candidates (register),CatchResponseError('candidate registration failed: HTTP 500'),3,2026-08-10T04:46:14Z,2026-08-10T04:46:47Z
POST,POST /start-interview,CatchResponseError('start-interview failed: HTTP 0'),17,2026-08-10T04:44:26Z,2026-08-10T04:46:44Z
