Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /session-status/:id (final check),44,0,20,25.194595456758346,4.19440001132898,108.62579999957234,224.54545454545453,0.37010655288371547,0.0,21,30,38,39,46,49,110,110,110,110,110
GET,GET /session-status/:id (post-create),44,0,28,40.00613636294888,3.8965999847278,179.91649999748915,223.95454545454547,0.37010655288371547,0.0,29,36,48,63,75,110,180,180,180,180,180
POST,POST /candidates (register),100,0,95,104.29452800075524,42.04100000788458,165.89430000749417,255.0,0.8411512565538988,0.0,96,120,130,130,160,160,160,170,170,170,170
POST,POST /interviews/ask-question,44,0,67,79.07157045437171,17.912199982674792,198.06660001631826,40.0,0.37010655288371547,0.0,68,82,96,97,140,170,200,200,200,200,200
POST,POST /start-interview,2885,2841,9,13.396601005400042,2.2225999855436385,262.6330000057351,160.46412478336222,24.26721375157998,23.897107198696265,9,11,13,14,22,32,71,120,260,260,260
,Aggregated,3117,2841,9,17.782042990283642,2.2225999855436385,262.6330000057351,163.59736926531923,26.218684666785023,23.897107198696265,9,12,14,17,32,77,130,160,260,260,260
