Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /session-status/:id (final check),392,0,71,75.030811224233,3.8120000026538037,1069.0624999988358,220.0,2.188458747456931,0.0,71,80,91,100,150,240,320,450,1100,1100,1100
GET,GET /session-status/:id (post-create),392,0,83,129.0520813775643,4.729000000224914,663.8934000002337,220.0,2.188458747456931,0.0,83,120,170,180,280,340,540,580,660,660,660
POST,POST /candidates (register),10,0,66,79.71025000078953,55.34639999677893,119.86089999845717,255.0,0.05582802927186048,0.0,66,89,89,120,120,120,120,120,120,120,120
POST,POST /interviews/ask-question,392,0,82,114.5569811225349,5.732400000852067,716.7081000006874,40.0,2.188458747456931,0.0,83,110,160,190,260,350,470,630,720,720,720
POST,POST /start-interview,393,0,240,284.29152824443173,107.67090000445023,1007.9190999967977,189.0,2.194041550384117,0.0,240,300,340,380,460,630,760,940,1000,1000,1000
,Aggregated,1579,0,97,150.36764002533744,3.8120000026538037,1069.0624999988358,167.8195060164661,8.81524582202677,0.0,97,170,200,240,330,440,580,680,1100,1100,1100
