Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /session-status/:id (final check),364,0,22,37.63104423042323,12.657999992370605,261.1044000077527,220.0934065934066,2.0567547682336436,0.0,22,29,38,48,82,120,180,220,260,260,260
GET,GET /session-status/:id (post-create),365,0,30,48.892580272712785,12.617799977306277,320.1755000045523,220.0,2.0624051934210987,0.0,30,43,63,74,110,160,200,220,320,320,320
POST,POST /candidates (register),10,0,96,112.63550999574363,39.17830000864342,254.5559999998659,255.0,0.056504251874550646,0.0,98,99,110,170,250,250,250,250,250,250,250
POST,POST /interviews/ask-question,364,0,67,88.14360109937587,27.881500020157546,446.2210000201594,40.0,2.0567547682336436,0.0,67,75,88,98,140,210,310,390,450,450,450
POST,POST /start-interview,401,36,130,145.62673715641142,9.087999991606921,604.8208000138402,185.99750623441398,2.265820500169481,0.20341530674838232,130,150,170,190,240,300,340,390,600,600,600
,Aggregated,1504,36,63,81.88194108993713,9.087999991606921,604.8208000138402,167.62566489361703,8.498239481932417,0.20341530674838232,63,93,120,130,170,220,300,340,570,600,600
