Method,Name,Error,Occurrences,First Seen,Last Seen
POST,POST /start-interview,CatchResponseError('start-interview failed: HTTP 0'),1,2026-08-11T15:07:26Z,2026-08-11T15:07:26Z
POST,POST /start-interview,CatchResponseError('start-interview failed: HTTP 503'),35,2026-08-11T15:08:18Z,2026-08-11T15:08:32Z
