Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /session-status/:id (final check),772,0,650,1357.5402830312134,6.720799996401183,14280.752099999518,220.0,4.330045711190168,0.0,650,1100,2000,2400,3200,4500,6400,11000,14000,14000,14000
GET,GET /session-status/:id (post-create),772,0,2800,3410.2791187823914,13.449699996272102,14746.467899996787,220.0,4.330045711190168,0.0,2800,3400,3800,4500,12000,12000,12000,15000,15000,15000,15000
POST,POST /candidates (register),100,0,2200,2592.5121789996047,63.85370000498369,7377.810000005411,255.0,0.5608867501541668,0.0,2200,3400,4100,4400,5700,6400,7300,7400,7400,7400,7400
POST,POST /interviews/ask-question,772,0,1300,2635.8115861398574,16.566700003750157,17552.910599995812,40.0,4.330045711190168,0.0,1300,3000,3900,4300,6200,7000,12000,12000,18000,18000,18000
POST,POST /start-interview,779,7,6700,8592.709199486539,90.16430000338005,18598.91900000366,187.30166880616176,4.369307783700959,0.039262072510791675,6700,13000,15000,16000,17000,17000,18000,18000,19000,19000,19000
,Aggregated,3195,7,2300,3965.1251352112863,6.720799996401183,18598.91900000366,169.6300469483568,17.92033166742563,0.039262072510791675,2300,3700,4900,6100,12000,16000,17000,18000,18000,19000,19000
