Method,Name,Error,Occurrences,First Seen,Last Seen
POST,POST /start-interview,CatchResponseError('start-interview failed: HTTP 0'),4,2026-08-11T15:09:53Z,2026-08-11T15:10:36Z
POST,POST /start-interview,CatchResponseError('start-interview failed: HTTP 503'),271,2026-08-11T15:09:06Z,2026-08-11T15:10:43Z
